passenger_id,first_name,last_name,age,gender,email,phone,date_of_birth,missing_last_name_flag,ambiguous_passenger_id_flag
P1034,Ishaan,Iyer,62,M,ishaan.iyer@outlook.com,+91-8679984033,1964-08-14,False,True
P1034,Ishaan,Iyer,62,M,ishaan.iyer@gmail.com,+91-7994310083,1964-09-24,False,True
P1102,Myra,Kulkarni,1,F,myra.kulkarni@rediffmail.com,+91-8128636900,2025-02-27,False,True
P1102,Myra,Kulkarni,1,F,myra.kulkarni@outlook.com,+91-7247746438,2025-03-18,False,True
P1104,Vivaan,Verma,88,F,vivaan.verma@gmail.com,+91-7871531100,1938-06-03,False,True
P1104,Vivaan,Verma,88,F,vivaan.verma@hotmail.com,+91-6519246503,1938-12-25,False,True
P1104,Vivaan,Verma,88,F,vivaan.verma@outlook.com,+91-7147605080,1938-04-02,False,True
P1108,Ishaan,Kulkarni,8,M,ishaan.kulkarni@outlook.com,+91-9394801573,2018-02-08,False,True
P1108,IshaanKulkarni,,8,M,ishaankulkarni.user@outlook.com,+91-8511086777,2018-06-13,True,True
P1140,Shaurya,Singh,42,M,shaurya.singh@outlook.com,+91-6525146690,1984-08-02,False,True
P1140,Shaurya,Singh,42,M,shaurya.singh1@outlook.com,+91-9293253475,1984-03-18,False,True
P1141,Sai,Kulkarni,77,M,sai.kulkarni@rediffmail.com,+91-7881531720,1949-06-05,False,True
P1141,SaiKulkarni,,77,M,saikulkarni.user@outlook.com,+91-7878488534,1949-10-22,True,True
P1178,Kavya,Naidu,72,M,kavya.naidu@outlook.com,+91-8682014641,1954-02-15,False,True
P1178,Kavyanaidu,,72,M,kavyanaidu.user@gmail.com,+91-7325354965,1954-09-09,True,True
P1216,Riya,Sharma,56,F,riya.sharma@outlook.com,+91-7367942460,1970-07-12,False,True
P1216,Riya,Sharma,56,F,riya.sharma@hotmail.com,+91-9208908082,1970-02-11,False,True
P1236,Myra,Sharma,20,F,myra.sharma@yahoo.com,+91-9821413281,2006-03-22,False,True
P1236,MyraSharma,,20,F,myrasharma.user@outlook.com,+91-6338642889,2006-01-28,True,True
P1252,Aadhya,Agarwal,16,M,aadhya.agarwal@rediffmail.com,+91-7987380851,2010-04-11,False,True
P1252,Aadhya,Agarwal,16,M,aadhya.agarwal@outlook.com,+91-6644311226,2010-08-11,False,True
P1331,Aadhya,Naidu,60,F,aadhya.naidu@gmail.com,+91-8668031793,1966-04-17,False,True
P1331,Aadhya,Naidu,60,F,aadhya.naidu@yahoo.com,+91-7699602642,1966-09-11,False,True
